Set,Date,date2,Where,Description,State,Number,Zipcodes,notes,cause
FY 2009,7/31/2009,07/10/2009,"Mandy Electric, Inc., Tampa, FL 33610","Worker was found on the ground with hot work gloves lying next to him, apparently electrocuted.",FL,1,33610,,electricity
FY 2009,7/31/2009,7/17/2009,"Arthur Vincent & Sons Construction Inc, Armonk, NY 10504",Worker fell from a roof.,NY,1,10504,,fell
FY 2009,7/31/2009,7/20/2009,"W.W. Transport, Inc., Harriman, TN  37748","Worker was in the process of loosening straps on a load of pipe located on a flatbed trailer.  The load shifted, causing the pipe to fall and strike the worker.",TN,1,37748,,struck
FY 2009,7/31/2009,7/22/2009,"Antonio Renteria Framing, Austin, TX  78738","Worker was 12-feet high removing a roof truss and fell, striking his head on the front door concrete patio below.",TX,1,78738,,fell
FY 2009,7/31/2009,7/22/2009,"International Marble & Granite Supply, Inc., Chicago, IL  60622",Worker was working with an overhead crane and a bundle of 7-8 slabs of granite.  The slabs tipped over on the worker.,IL,1,60622,,struck
FY 2009,7/31/2009,7/23/2009,"T.T.C.S., LLC, Sabine Pass, TX  77655","Worker was on the roof of a modular home being placed on pilings.  Lightning struck the roof, electrocuting the worker.",TX,1,77655,,electricity
FY 2009,7/31/2009,7/23/2009,"Timberwolf Tree Service, Inc., East Windsor, NJ  08520",Worker was crushed in a chip grinder.,NJ,1,8520,,crush
FY 2009,7/31/2009,7/24/2009,"Charles McCarten & Son, Inc., Gibbstown, NJ  08027",Worker was caught between the bucket of a backhoe and a wooden deck attached to a building.,NJ,1,8027,,crush
FY 2009,7/31/2009,7/25/2009,"Wenday South dba Wendy's, Dayton, OH  45459","Worker was working in the kitchen near the back sink.  She slipped and fell in a wet spot, striking her head on the floor.",OH,1,45459,,fell
FY 2009,7/31/2009,7/26/2009,"Hardrives Asphalt Company, Deerfield Beach, FL 33442",Worker was in an aerial lift pressure washing a building and was electrocuted after the lift contacted an overhead powerline.,FL,1,33442,,electricity
FY 2009,7/31/2009,7/26/2009,"Pyi Dell Gei a Services JV, Milton, FL",Worker was electrocuted.,FL,1,32570,,eletricity
FY 2009,7/31/2009,7/26/2009,"Williams Custom Carpentry, Inc., Lake Forest, IL  60045",Worker was removing trim from a window and fell 30 feet from a ladder.,IL,1,60045,,fell
FY 2009,7/31/2009,7/27/2009,"Davids Patio LTD, Springtown, TX  76082","Worker was performing work on the forks of a forklift truck.  The forks fell, striking the worker on the head.",TX,1,76082,,struck
FY 2009,7/31/2009,7/27/2009,"Jensen Construction Company, Pine Bluff, AR  71601","Employees were using a dozer to try and get an overturned all-terrain forklift back on its wheels.  They attached a synthetic strap with a shackle to pull the forklift and turn it upright.  The eye of the strap broke, striking the worker, who was in the cab.",AR,1,71601,,struck
FY 2009,7/31/2009,7/27/2009,"Light Bulbs, Etc., Wichita, KS  67219",Worker was working on a bucket truck repairing an exterior light fixture and fell 25 feet to the ground below.,KS,1,67219,,fell
FY 2009,7/31/2009,7/28/2009,"Austin Powder Company, McArthur, OH  45651","An explosion occurred, three employees were hospitalized.",OH,1,45651,,explosion
FY 2009,7/31/2009,7/28/2009,"Cleco Power LLC, Leesville, LA  71446",Worker and another employee were closing a tap while clearing a branch from a downed powerline.  Worker was electrocuted.,LA,1,71446,,electricity
FY 2009,7/31/2009,7/28/2009,"EK Construction, De Ridder, LA  70634","While clearing a branch from a downed powerline.  Worker was electrocuted, and died after being hospitalized.",LA,1,70634,,electricity
FY 2009,7/31/2009,7/28/2009,"Martin's Tree Service, Chadds Ford, PA  19317",Worker was crushed by a tree that was being pulled down and back cut.,PA,1,19317,,struck
FY 2009,7/31/2009,7/28/2009,"Pike Sanitation Company, Waverly, OH  45690",Worker was doing trash collection and was struck by oncoming traffic.,OH,1,45690,,vehicle
FY 2009,7/31/2009,7/29/2009,"Aramark Corporation, Flushing, NY  11371",Worker was run over by a pickup truck.,NY,1,11371,,vehicle
FY 2009,7/31/2009,7/29/2009,"Basic Industries, Baton Rouge, LA  70817","Worker was stationary, being handed scaffold material from another employee  Worker collapsed after complaining about being ""woozy.""",LA,1,70817,,natural
FY 2009,7/31/2009,7/29/2009,"BLD Services, LLC, New Orleans, LA  70126","Worker was standing between a sewer bypass pump and an excavator.  The machine turned, crushing him between the excavator and the pump.",LA,1,70126,,crush
FY 2009,7/31/2009,7/30/2009,"Garfield Alloys, Garfield Hts., OH  44125",Worker was working on a pump in a magnesium recycling area.  He was in the process of turning a shaft with a pipe wrench to free up a vertical propeller when the hose connected to the pump either split or broke open.  The force of the steam blew him against a metal cage.,OH,1,44125,,collapse
FY 2009,7/31/2009,7/30/2009,"Jerry Castle & Son Hi-Lift, Elk Grove Village, IL  60007",Worker was working under a lift truck performing maintenance.  The jacks failed and the lift truck fell on the worker.,IL,1,60007,,struck
FY 2009,7/31/2009,7/31/2009,"Ruth Lake Country Club, Hillsdale, IL  60521",Worker was standing on the back of a golf cart and fell off.  He was then run over by a truck.,IL,1,60521,,vehicle
FY 2009,08/07/2009,7/13/2009,"Saenz Transport dba Luis Saenz, Rhine, GA 31077","Victim was standing beside a tractor trailer dump truck operating the dump controls, unloading gravel. The load and the body shifted, causing the trailer to rollover, crushing the victim.",GA,1,31077,,collapse
FY 2009,08/07/2009,7/23/2009,"Dausin Electric Company San Antonio, TX 78249",Victim was completing electrical work from a ladder. He was shocked and fell 8 feet to the ground.,TX,1,78249,,electricity
FY 2009,08/07/2009,7/24/2009,"Tuttle's Machine and Supplies, New Iberia, LA 70563",Victim was polishing a shaft. The shaft flew out and struck him on the chest.,LA,1,70563,,struck
FY 2009,08/07/2009,7/27/2009,"Times Printing Co., Inc., Random Lake, WI 53075",Victim was noted to be somewhat disoriented and had a large knob on head.,WI,1,53075,,struck
FY 2009,08/07/2009,7/29/2009,"Mueller Copper Tube Co., Inc., Fulton, MS 38843","In replacing an air pump with an electric pump that was leaking naphtha, an explosion occurred. One employee fatality and one employee hospitalization.",MS,1,38843,,explosion
FY 2009,08/07/2009,7/30/2009,"NOW Specialities, Inc. Dallas, TX 75202",Victim fell from a swing stage after the cable supports broke.,TX,1,75202,,fell
FY 2009,08/07/2009,7/31/2009,"Twin Oaks Moving Co., Inc., Wrightstown, NJ 08562",Victim fell 15 feet at an air freight terminal.,NJ,1,8562,,fell
FY 2009,08/07/2009,08/03/2009,"OSO Construction, LLC Bayonne, NJ 07002",Victim fell 60 feet from a flat roof.,NJ,1,7002,,fell
FY 2009,08/07/2009,08/04/2009,"CAMtech Precision Manufacturing, Inc. Euless, TX 76040",Victim was moving a large metal fixture with a bridge crane. The fixture slipped off the supports and crushed him.,TX,1,76040,,struck
FY 2009,08/07/2009,08/04/2009,"CGH Speciality Contractors, Inc. Independence, LA 70443","Victim, during the repair/construction of building gutters, fell from a mechanical lift.",LA,1,70443,,fell
FY 2009,08/07/2009,08/04/2009,"Perfecto Entreprise Company Inc., Staten Island, NY 10302",Victim was crushed by a skid steer bucket.,NY,1,10302,,struck
FY 2009,08/07/2009,08/04/2009,"Shawn Hoppingarner Roofing, Webster, TX 77598","Victim was performing roofing operations. While removing a skylight on the roof, stepped into the open hole and fell.",TX,1,77598,,fell
FY 2009,08/07/2009,08/04/2009,"Siller Brothers, Inc., McCall, ID 83638",Lightning struck a maintenance truck as it was on an airport tarmac. Four employees were hospitalized.,ID,1,83638,,electricity
FY 2009,08/07/2009,08/04/2009,"YRC Corp., Dallas, TX 75247",Victim was returning to a job assignment and was struck by a yard-truck.,TX,1,75247,,vehicle
FY 2009,08/07/2009,08/05/2009,"Roofing/Renovations, Collage Point, NY 11356","Victim was installing roof shingles from a 20-foot aluminum ladder, contracted an electrical service and fell from the ladder.",NY,1,11356,,"electricty, fell"
FY 2009,08/07/2009,08/06/2009,"Albert J. Wagner & Son, Incorporated Chicago, IL 60614",Victim was at the jobsite to inspect and fell from the scaffolding.,IL,1,60614,,fell
FY 2009,08/07/2009,08/07/2009,"Eastcao Enterprises Incorporated, Myerstown, PA 17405",Victim was cutting steel from an aerial lift and fell 7-8 feet to the floor below.,PA,1,17405,,fell
FY 2009,8/14/2009,07/08/2009,"L&J Roustabout Batesville, TX 78829","Employees were removing a cap on a 12-inch natural gas pipeline. Employees working nearby were doing some oxygen/acetylene cutting. While removing the cap, natural gas escaped and was ignited by the cutting process. One employee fatality and two employees were hospitalized.",TX,1,78829,,explosion
FY 2009,8/14/2009,08/02/2009,"United Parcel Service Co., Miami, FL 33152","Victim was unloading a palette of boxed flowers, and was struck on the torso, while pulling a box towards him. The stack of boxed fell, causing him to lose his balance, and fall backwards down 1'8"" high.",FL,1,33152,,fell
FY 2009,8/14/2009,08/03/2009,"L&L Fleet Services, LLC Madison, AL 35756","The safety supports failed on a dump truck bed, causing the bed of the dump truck to fall onto the victim, crushing him.",AL,1,35756,,collapse
FY 2009,8/14/2009,08/06/2009,"Walt Disney World Lake Buena Vista, FL 32830","Victim, during a choreographed sword fight, stumbled and fell into a wall.",FL,1,32830,,struck
FY 2009,8/14/2009,08/06/2009,"Zodiac Services Americas College Park, GA 30337","Victim was found off his forklift, apparent heart attack.",GA,1,30337,,natural
FY 2009,8/14/2009,08/10/2009,"Sweeping Services of Texas - Operating LP Lewisville, TX 75022",Victim was picking up trash/debris along the roadside and was struck by a tire that had sheared off a truck axle.,TX,1,75022,,vehicle
FY 2009,8/14/2009,08/11/2009,"Lucas Construction Group, Inc. Avenel, NJ 07001",Victim was struck on the head by a metal trench plate.,NJ,1,7001,,struck
FY 2009,8/14/2009,08/11/2009,"MJM Greenway Landscaping & Management, Inc. Port Orange, FL 32128","Victim was doing landscaping services. He was later found collapsed in the company truck, apparent heat stress.",FL,1,32128,,heat stroke
FY 2009,8/14/2009,08/11/2009,"Superior Construction, LLC Jacksonville, FL 32256",Victim was surveying the ramp shoulder and was struck by an automobile.,FL,1,32256,,vehicle
FY 2009,8/14/2009,08/12/2009,"SMC, Inc. Odessa, TX 79764",Victim leaned across a horizontal milling machine turning at 138 RPM. One of the sleeves of his shirt was caught by either the spinning shaft or drift. Victim was pulled off the floor and wrapped around the shaft.,TX,1,79764,,caught in machinery
FY 2009,8/14/2009,08/12/2009,"Tank Builders, Inc. Richmond, TX 77407","Victim was welding on an overhead interior structure of a water tank, and collapsed on the scaffold, possible heat stress.",TX,1,77407,,heat stroke
FY 2009,8/21/2009,08/02/2009,"Sisler Lumber Company New Creek, WV 26743","Victim was pouring gasoline into a carburator of a truck, it backfired and covered the victim with buring gasoline.",WV,1,26743,,explosion
FY 2009,8/21/2009,08/07/2009,"Time Dameron Construction Co. Jackson, MO 63755","Victim was working on the second floor, nailing in window jams. He fell out of the window, 13 feet to the ground.",MO,1,63755,,fell
FY 2009,8/21/2009,08/10/2009,"Jersey Central Power & Light Company Wrightstown, NJ 08562",Victim was working on a circuit breaker and received an electricl shock.,NJ,1,8562,,eletrcity
FY 2009,8/21/2009,8/13/2009,"Craftsman Drywall Contractors LLC Houston, TX 77070",Victim was removing sheetrock and metal studs. He was electrocuted by exposed wires.,TX,1,77070,,electricity
FY 2009,8/21/2009,8/13/2009,"Jim Stucco Inc. Lawrenceville, GA 30045",Victim died from a heat stroke.,GA,1,30045,,heat stroke
FY 2009,8/21/2009,8/14/2009,"All Industrial Services, Inc. Monessen, PA 15062","Victim was removing a 5,000-pound valve using a 50-ton mobile truck crane. During the process, the valve came free from its rigging and fell through the scaffold platform that the victim was standing on. Both the valve and the victim fell 10 feet to the inside of the tank, with the valve pinning the victim to inside wall.",PA,1,15062,,fell
FY 2009,8/21/2009,8/14/2009,"John Molina Contracting New Kensington, PA 15068",Victim fell 18 feet from a ladder jack scaffold.,PA,1,15068,,fell
FY 2009,8/21/2009,8/14/2009,"Park-Mark Inc. Boonville, MO 65233",Victim was operating a walk-behind stripe groover machine and was struck from behind by an errant vehicle.,MO,1,65233,,vehicle
FY 2009,8/21/2009,8/14/2009,"Suarez Construction Pearland, TX 77581",Victim was working on a foundation of a single family residence. He collapsed outside the adjacent house.,TX,1,77581,,natural
FY 2009,8/21/2009,8/17/2009,"D&M Plumbing Sedalia, MO 65301","VIctim was working from a ladder, repairing a pipe in the kitchen area, and fell from the ladder.",MO,1,65301,,fell
FY 2009,8/21/2009,8/17/2009,"Industrial Builders, Inc. Medina, ND 58467","Victim was covering concrete with a burlap cover. The winds picked up the burlap cover, entagling the victim and pulled him off the bridge. He fell 18-20 feet to the dirt embankment below.",ND,1,58467,,fell
FY 2009,8/21/2009,8/17/2009,"Jim's Auto Service, L.L.C. Lake City, FL 32025","Victim was installing a ceiling light from a ladder and received an electrical shock from the light wiring. He fell 10 feet to the shop floor, stiking objects in the repair bay on his way down.",FL,1,32025,,"electricity, fell"
FY 2009,8/21/2009,8/17/2009,"Trinity Yachts, LLC. Gulfport, MS 39503",Victim was struck on the head by a traveling block of a ship-based crane.,MS,1,39503,,struck
FY 2009,8/21/2009,8/17/2009,"Walt Disney World Co. Lake Buena Vista, FL 32830","Victim was performing tumbling and roll movements, made contact with another employee and afterwards exhibited difficulty breathing.",FL,1,32830,,struck
FY 2009,8/21/2009,8/18/2009,"Boring &Tunneling Co. of America Houston, TX 77054",Victim was 140 feet inside a tunnel adjusting openings when the tunnel became filled with water. Victim drowned.,TX,1,77054,,suffocate
FY 2009,8/21/2009,8/18/2009,"Brock & Sons Construction Cincinnati, OH 45227",Victim was in a man-lift and was electrocuted.,OH,1,45227,,electricity
FY 2009,8/21/2009,8/18/2009,"Delta Demolition, Inc. Chicago, IL 60616","Victim was driving a skid steer loader from a dumpster, suspended by a crane, at the 7th floor level of a building being demolished. He put the loader into reverse causing the suspended dumpster to swing away from the building, which resulted in the skid steer loader being thrown from the dumpster, falling to the ground below.",IL,1,60616,,fell
FY 2009,8/21/2009,8/18/2009,"Direct TV Home Service Inc. Eldrige, AL 35554","Victim was installing a new cable TV. While crawling under the house, came in contact with a bare wire, and was electrocuted.",AL,1,35554,,electricity
FY 2009,8/21/2009,8/18/2009,"Metals USA - Royal Aluminum Groveland, FL 34736","Victim was preparing a piece of equipment for maintenance, and collapsed.",FL,1,34736,,natural
FY 2009,8/21/2009,8/18/2009,"Nova Restoration of NY Inc. Brooklyn, NY 11215",Victim fell five stories from a 2-point suspended scaffold after the cable broke.,NY,1,11215,,fell
FY 2009,8/21/2009,8/19/2009,"Denny Hornbeck Construction University City, MO 63130","Victim was on a ladder changing a light bulb, and fell.",MO,1,63130,,fell
FY 2009,8/21/2009,8/19/2009,"Fleek Farms, Inc. Celina, OH 45822","Victim was operating a forklift. The forklift turned, tipped over, and pinned the victim.",OH,1,45822,,vehicle
FY 2009,8/21/2009,8/19/2009,"LTD Lanscaping and Supplies, Inc. Houston, TX 77036",Victim was blowing leaves and debris. The leaf blower he was using contacted an air conditioning unit. Victim was electrocuted.,TX,1,77036,,electricity
FY 2009,8/21/2009,8/20/2009,"Master Mechanical Services, Inc. Hinleah, FL 33012",Victim was performing welding operations and was electrocuted.,FL,1,33012,,electricity
FY 2009,8/21/2009,8/20/2009,"U.S. Forest Service, Wallowa Whitman Nat. Forest Baker City, OR 87814",Victim was preparing a hover hookup and was struck by a snag or tree that had been dislodged b a helicopter rotor wash.,OR,1,87814,,
FY 2009,8/21/2009,8/20/2009,"U.S. Forest Service, Wallowa Whitman Nat. Forest, Baker City, OR 87814",Victim was preparing a hover hookup and was struck by a snag or tree that had been dislodged b a helicopter rotor wash.,OR,1,87814,,
FY 2009,8/28/2009,08/12/2009,"Heartland Affordable Housing Platteville, WI 53818","Victim was operating a lawn tractor and the tractor tipped over, rolling onto the victim.",WI,1,53818,,
FY 2009,8/28/2009,8/13/2009,"Advanced Utility Service, Inc. Sanford, FL 32773","Victim was working in an aerial lift upgrading three phases of an electrical distribution line. He was on the pole during the process of hoisting and moving the existing energized ""A"" phase and contacted energized conductors and was exposed to 7,620-volts of AC voltage. Victim was electrocuted.",FL,1,32773,,
FY 2009,8/28/2009,8/15/2009,"C.A. Franc Construction Washington, PA 15301",Victim was installing asphalt shingles and fell 40 feet to the ground.,PA,1,15301,,
FY 2009,8/28/2009,8/17/2009,"Ultimate Siding and Gutters, LLC Slidell, LA 70461",Victim was working from a basket lifted up by a rough terrain forklift that tipped over on its side.,LA,1,70461,,
FY 2009,8/28/2009,8/21/2009,"Asplundh Tree Expert Company Wilkinsburg, PA 15221","Victim was working in the basket of an articulating truck mounted boom. During movement of the boom, victim was catapulted out of the basket.",PA,1,15221,,
FY 2009,8/28/2009,8/21/2009,"Crane and Grain Service York, NE 68467","Victim was assembling a stairway on the outside of a grain bin. He was stepping from the stairs to a metal ladder and suffered an attack, possible electric shock and fell to the ground.",NE,1,68467,,
FY 2009,8/28/2009,8/21/2009,"Southeast Coastal Services Gibsonton, FL 33534","Victim was pressure washing a vessel standing on a scaffold 15 to 20 feet, and fell.",FL,1,33534,,
FY 2009,8/28/2009,8/22/2009,"Blockbuster Video Jamestown, ND 58401","Victim was working an outdoor sale at a store and was struck by a car, pinning the victim to the building.",ND,1,58401,,
FY 2009,8/28/2009,8/22/2009,"Taylor Brothers & Associates, Ltd. Paulding, OH 45879",Victim was performing drywall work and fell 9 feet from a tubular welded scaffold.,OH,1,45879,,
FY 2009,8/28/2009,8/24/2009,"Cooperative Producers, Inc. Ruskin, NE 60974","Victim was cleaning out a pit at a grain elevator. He was walking near the unguarded opening and fell through, 15-20 feet, to the bottom of the pit.",NE,1,60974,,
FY 2009,8/28/2009,8/24/2009,"Somerset Barn Equipment Canonsburg, PA 15317","Victim was in a 60-foot high silo unclogging a discharge hole. While in the process of drilling a hole and remvoing the pipe, the victim clutched his chest and fell over.",PA,1,15317,,
FY 2009,8/28/2009,8/25/2009,"Affordable Fast Gutters LLC Metairie, LA 70001",Victim was moving a ladder and touched the overhead power line with the ladder. He was electrocuted.,LA,1,70001,,
FY 2009,8/28/2009,8/25/2009,"Mark Young Construction Corp. Elizabeth, CO 80107",Victim was working from an 8-foot step ladder doing caulking on a ceiling/wall area and fell to the ground.,CO,1,80107,,
FY 2009,8/28/2009,8/25/2009,"Tri-State Electrical Contracting Inc. Bay Terrce, NY 11360",Victim was operating a knuckle boom truck and was crushed between the boom and the controls.,NY,1,11360,,
FY 2009,8/28/2009,8/26/2009,"ABC Salvage & Scrap Metal, Inc. Little Rock, AR 72210",Victim was struck and pinned by two track-hoes.,AR,1,72210,,
FY 2009,8/28/2009,8/26/2009,"Ace Coffee Bar, Inc. Streamwood, IL 60107",Victim was conducting service work on a coke vending machine and was electrocuted.,IL,1,60107,,
FY 2009,8/28/2009,8/26/2009,"Disney Stores USA, LLC Round Rock, TX 78864",Victim fell from a 3-step ladder.,TX,1,78864,,
FY 2009,8/28/2009,8/27/2009,"Whemco, Inc. (Ohio Foundry Division) Lima, OH","Victim, during a grinding operation, was struck by an exploding grinding wheel.",OH,1,45804,,
FY 2009,09/04/2009,8/26/2009,"Dekalb Co. Hwy. Dept., Public Sector, Smithville, TN",Employee was thrown from an asphalt roller while working on a road paving project (possible heart attack instead - more information will be provided after investigation).,TN,1,37166,,
FY 2009,09/04/2009,8/26/2009,"UCL, Inc., West Chester, OH 45069",Employee was involved in a bridge blasting and painting operation. Employee was wearing a harness but was not tied off to the horizontal lifeline. Fall from the elevated walkboard resulted in fatal injuries.,OH,1,45069,,
FY 2009,09/04/2009,8/27/2009,"Davis Buildings, Stigler, OK 74462","Employee was in the warehouse when a pallet of door panels stacked 15-feet high and weighing 850 lbs fell from the top of the stacked palets, crushing the employee.",OK,1,74462,,
FY 2009,09/04/2009,8/27/2009,"Volvo of Savannah, Savannah, GA 31406",Employee was working from a ladder and fell to the ground. Head injuries resulted in a fatality.,GA,1,31406,,
FY 2009,09/04/2009,8/28/2009,"JMR Concrete, Brooklyn, NY 11208",Employee was working with a gasoline powered scarifying machine. Probable cause of death was carbon monoxide poisoning.,NY,1,11208,,suffocate
FY 2009,09/04/2009,8/28/2009,"Konecranes Inc. dba Crane Pro, Henderson, KY","Employee was observed hanging by his harness from the bridge of a ""Kone"" 60-ton crane. After rescue, the coroner reported the cause of death was electrocution.",KY,1,42420,,
FY 2009,09/04/2009,8/28/2009,"Pro Elevator Services Inc., Brooklyn, NY 11218","Employee was below the elevator releasing the elevator jaws. The elevator dropped, crushing the employee.",NY,1,11218,,
FY 2009,09/04/2009,8/28/2009,"Tredco Tire Services, Elk Grove Village, IL 60007",Employee was installing a new tire. The explosive separation of the and its components resulted in fatal head injuries.,IL,1,60007,,
FY 2009,09/04/2009,09/01/2009,"Greenleaf Construction, Inc., Skokie, IL 60077",Employee was engaged in residential roofing work and fell 26 feet to his death.,IL,1,60077,,
FY 2009,09/04/2009,09/02/2009,"Coastal Drilling Land Company, Encinal, TX 78019",Employee was struck by a derrick.,TX,1,78019,,
FY 2009,09/04/2009,09/02/2009,"Meisenzahl Construction, Co., Naples, NY 14512",Employee operating a skid steer loader on a slope was killed when the skid stree loader rolled over.,NY,1,14512,,
FY 2009,09/11/2009,8/13/2009,"Millersburg Area Ambulance Association, Millerburg, PA 17061",Employee fell down the stairs. Stairs did not have a hand rail.,PA,1,17061,,
FY 2009,09/11/2009,8/18/2009,"Mariani & Richards, Inc., Pittsburgh, PA 15222",Employee was performing masonry work 250 feet above ground but was not wearing fall protection. Fall to the ground resulted in fatal injuries.,PA,1,15222,,
FY 2009,09/11/2009,09/02/2009,"HFM Food Service, HI",The worker was found in the freezer warehouse at forklift operator station.,HI,1,96819,,
FY 2009,09/11/2009,09/02/2009,"NYCDOC Rikers Island, East Elmhurst, NY 11370",The worker developed breathing problems. EMS arrived and took the Worker to the hospital. The worker died at the hospital.,NY,1,11370,,
FY 2009,09/11/2009,09/03/2009,"Power Piping Company, Clairton, PA 15025","Two employees were working inside a confined space area when an explosion occurred, then a fire. One employee fatality and one employee was hospitalized.",PA,1,15025,,
FY 2009,09/11/2009,09/04/2009,"Cross-Roads Asphalt Recycling, Inc., Columbia Station, OH 44028",Employee suffered a fatal heart attack while observing fire fighting activities at the workplace.,OH,1,44028,,
FY 2009,09/11/2009,09/04/2009,"Gulf Coast Surveyors, Inc., Port Arthur, TX 77641",Employee was aboard a vessel observing loading the compartment with calcined coke. He tripped over a coaming and struck his head on a vent pipe.,TX,1,77641,,
FY 2009,09/11/2009,09/04/2009,"Iowa Select Farms, LLP, Kanawha, IA 50126",Worker was power washing hog crates when he fell to the floor and became non-responsive.,IA,1,50126,,
FY 2009,09/11/2009,09/04/2009,"Nicholas Migliaccio, Long Valley, NJ 07853","As a tree limb was being lowered to the ground, the limb struck an employee causing fatal injuries.",NJ,1,7853,,
FY 2009,09/11/2009,09/04/2009,"Northwest Abatement Services, Inc., Fort Lewis, WA 98433",Employee was found unconscious at the base of a fixed ladder. Employee transported to hospital where he was pronounced dead.,WA,1,98433,,
FY 2009,09/11/2009,09/04/2009,"Razban Enterprises dba Dominoes Pizza, Benton, KY 42025","Fatal heart attack. Worker was on a pizza delivery run, when his car ran off the road and struck a tree.",KY,1,42025,,
FY 2009,09/11/2009,09/08/2009,"Johnson's Tree Service, Cleveland, TN",Worker was crushed by a truck when it fell over on him while lowering a cut tree with the boom of the truck.,TN,1,37311,,
FY 2009,09/11/2009,09/08/2009,"Northland Services, Thorne Bay, AK 99919",Worker was loading containers on a barge and was found crushed between the containers.,AK,1,99919,,
FY 2009,09/11/2009,09/08/2009,"Western Engineering Company, Chappell, NE 69129",Employees were working on a road construction project. The back set of duals came off a trailer and struck the employees. One employee fatality and one employee hospitalization.,NE,1,69129,,
FY 2009,09/11/2009,09/09/2009,"Fresh Grocer, Drexel Hill, PA 19026","Employee was pulling a pallet. The pallet broke causing the employee to fallbackwards, hitting his head against a metal door.",PA,1,19026,,
